End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total,AK,HI
cooking,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325811381821451,0.1204710959273577,0.0,0.0,0.0,0.0,0.0,0.0,0.2289550181306002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166681650633821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1080943390572087,0.0,0.0,1.0,0,0
cooking,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1817844326197252,0.0,0.0,0.0,0.126593243410469,0.0,0.0,0.0,0.0,0.0,0.0,0.3275584704863259,0.2347481747308501,0.0,0.0,0.0,0.0210370003712411,0.0779606484345996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303180299467887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooking,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0252327549724925,0.0214769360981802,0.1909119763013119,0.2303216250528988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1450486669487939,0.0,0.0,0.0,0.0,0.0,0.0,0.1407638595006348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0624206517139229,0.0,0.0,0.0,0.0,0.148011002962336,0.0,0.0,0.0,0.0358125264494286,0.0,1.0,0,0
cooking,6,0.2415245314803116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2815329543061697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1360286376079174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3409138766056012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooking,7,0.0,0.0687875217415698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1280368063737866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1283173427593558,0.0,0.0,0.0,0.0,0.0,0.0,0.6748583291252875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooking,8,0.0,0.0,0.2653348339898705,0.0,0.2062464828362408,0.0,0.0,0.0,0.0,0.0,0.0,0.0637779028324892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432376664790845,0.0,0.0,0.0,0.0,0.0,0.1138623147627086,0.1849559182142187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1004501969611705,0.0,0.0,0.0,0.0,0.0,0.0221346839242168,0.9999999999999996,0,0
cooking,9,0.0,0.0,0.0,0.838897504965581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672326068620248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093869888172394,0.0,0.0,0.0,1.0,0,0
drying,1,0.0,0.0,0.0,0.0,0.0,0.1559405940594059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6876237623762376,0.0,0.0079207920792079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042079207920792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816831683168316,0.0,0.0,0.0,0.0,0.0,0.0,0.0247524752475247,0.0,0.0,0.0,0.0,1.0,0,0
drying,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3573017049666419,0.0,0.0,0.3767234988880652,0.0,0.0,0.0,0.2659747961452928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
drying,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654137781629117,0.1084272097053726,0.0,0.0,0.0,0.0,0.0,0.0,0.3000974870017331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331239168110918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0929376083188908,0.0,0.0,1.0000000000000002,0,0
