Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI,Total
comm_GSHP-cool,cooling,3,0.0,0.0,0.0786991786930887,0.1785222422092508,0.2108153332482557,0.0,0.0,0.0,0.0,0.0,0.4292192386816872,0.1027440071677173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-cool,cooling,4,0.0,0.0,0.3174965006133703,0.1846699871817968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3788722908444628,0.1180913556293237,0.0,0.0,0.0,0.0,0.0008698657310461,0.0,0.0,0.0
comm_GSHP-cool,cooling,5,0.0,0.2213270635524428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0626893101648344,0.0330058712798731,0.0,0.2726383918208465,0.2154120042387341,0.1917408969577127,0.0031864619855561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-cool,cooling,6,0.0,0.0,0.0,0.0,0.0,0.0834798353522561,0.0,0.0,0.0,0.0,0.0200790087372259,0.0,0.0,0.0,0.2961850867716709,0.6002560691388469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-cool,cooling,7,0.7083811892706545,0.0,0.0,0.0,0.0,0.1542600742948229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239527066546393,0.0,0.0,0.013406029779883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-cool,cooling,8,0.0,0.0,4.3288592435665144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052235080039545,0.0,0.0004917200624233,0.3452283693472182,0.0,0.0,0.0622921298203094,0.3696549843959598,0.2170659997776989,0.0,0.0
comm_GSHP-cool,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9637968125757272,0.0,0.0,0.0362031874242728,0.0
pkg_terminal_AC-cool,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_AC-cool,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2747022866209375,0.2478056303471906,0.4175695102158331,0.0599225728160388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_AC-cool,cooling,3,0.0,0.0,0.1501430216031927,0.1665256776062,0.1630822650873233,0.0,0.0,0.0,0.0,0.0,0.3743007608840183,0.1459482748192655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_AC-cool,cooling,4,0.0,0.0,0.3712993680352299,0.1315484844080776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017743624236474,0.1925349058736604,0.0,0.0,0.0,0.0,0.0028428792593845,0.0,0.0,0.0
pkg_terminal_AC-cool,cooling,5,0.0,0.4397223356350676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391886730378401,0.0270202684976637,0.0,0.1769610042656126,0.1904468761530361,0.1251829110834136,0.0014779313273661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
