End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total,AK,HI
water heating,4,0.0,0.0,0.4109398360571222,0.1425993710367583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2560705263700572,0.1862659174099087,0.0,0.0,0.0,0.0,0.0041243491261535,0.0,1.0,0,0
water heating,5,0.0,0.1197804610318331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136509330406147,0.1008562019758507,0.0,0.1903841931942919,0.2058836443468715,0.2456201975850713,0.0009659714599341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.1021215390147428,0.0,0.0,0.0,0.0,0.0267289943665348,0.0,0.0,0.0,0.2520676015821647,0.6190818650365576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,7,0.5413791643737036,0.0,0.0,0.0,0.0,0.1838462515345214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2427718748677136,0.0,0.0,0.0320027092240612,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,8,0.0,0.0,0.0004443654461429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131087806612157,0.0,0.0014219694276573,0.2836384642730181,0.0,0.0,0.0524351226448631,0.3087451119800924,0.3402061855670103,1.0,0,0
water heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034186984380437,0.3520235828778481,0.5239206534422404,0.1206370652418677,0.0,0.0,1.0,0,0
cooking,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3220787818603112,0.164996539375884,0.4428395173181668,0.0700851614456381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0,0
cooking,3,0.0,0.0,0.114777188408403,0.159938865414007,0.2089064700770175,0.0,0.0,0.0,0.0,0.0,0.27471605382241,0.2416614222781623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooking,4,0.0,0.0,0.469372602400693,0.1385967083281772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2227447098131419,0.1664397970548199,0.0,0.0,0.0,0.0,0.0028461824031679,0.0,1.0,0,0
