Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
rooftop_ASHP-heat,heating,4,0.0,0.0,0.3193857428866862,0.169550490083027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2389165144098992,0.2671931413363548,0.0,0.0,0.0,0.0,0.0049541112840327,0.0
rooftop_ASHP-heat,heating,5,0.0,0.0568386440548519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117580670628149,0.1049282407755534,0.0,0.190404700848038,0.3522688855122695,0.1712190154549945,0.0067598427261435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooftop_ASHP-heat,heating,6,0.0,0.0,0.0,0.0,0.0,0.0462199945481759,0.0,0.0,0.0,0.0,0.0266877284119758,0.0,0.0,0.0,0.182867127974821,0.7442251490650271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooftop_ASHP-heat,heating,7,0.5168091378381386,0.0,0.0,0.0,0.0,0.1507722000999787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325643930356818,0.0,0.0,0.0067747317050645,0.0,0.0,0.0,0.0,0.0
rooftop_ASHP-heat,heating,8,0.0,0.0,0.0020746839094847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037267157434673,0.0,0.0077224442459148,0.0954123502496077,0.0,0.0,0.2460189261233312,0.3652947478941442,0.27975013183405
rooftop_ASHP-heat,heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012142590006233,0.1360723866399801,0.2126926136962624,0.650020740663134,0.0,0.0
comm_GSHP-heat,heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-heat,heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3941299954418108,0.1833824925879568,0.3729273148021693,0.0495601971680631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-heat,heating,3,0.0,0.0,0.0425161575914202,0.2130096966929629,0.1897797220133257,0.0,0.0,0.0,0.0,0.0,0.428058251180239,0.1266361725220521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-heat,heating,4,0.0,0.0,0.4269144886170972,0.1668069487714257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092342129257128,0.1928286768456429,0.0,0.0,0.0,0.0,0.0042156728401211,0.0
comm_GSHP-heat,heating,5,0.0,0.1157928494957677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0927357339994524,0.0535610777516224,0.0,0.244173725733201,0.2880455117940226,0.1989028891670418,0.0067882120588918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-heat,heating,6,0.0,0.0,0.0,0.0,0.0,0.0678741625873717,0.0,0.0,0.0,0.0,0.030381689727914,0.0,0.0,0.0,0.2089610894127579,0.6927830582719563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-heat,heating,7,0.6311120070957552,0.0,0.0,0.0,0.0,0.1523289243615892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2122465840161039,0.0,0.0,0.0043124845265515,0.0,0.0,0.0,0.0,0.0
comm_GSHP-heat,heating,8,0.0,0.0,0.0001178600977707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038248648942119,0.0,0.0045910071774423,0.1184070884471549,0.0,0.0,0.153911384122338,0.4995419157093917,0.2196058795516904
comm_GSHP-heat,heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
all,heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1787768922812447,0.2772552064502723,0.4903298173379646,0.0536380839305183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,heating,3,0.0,0.0,0.102348027870026,0.2055218509334105,0.1333706793493246,0.0,0.0,0.0,0.0,0.0,0.4228805333372284,0.1358789085100102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,heating,4,0.0,0.0,0.3944793331581849,0.1431560722935871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194635927949309,0.2633234013180751,0.0,0.0,0.0,0.0,0.0044052652808439,0.0
all,heating,5,0.0,0.0836631894820566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229475700737983,0.1008001078170751,0.0,0.2063122729725,0.3092081284767454,0.1722187797139733,0.0048499514638509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,heating,6,0.0,0.0,0.0,0.0,0.0,0.0493745689184852,0.0,0.0,0.0,0.0,0.0252750269326235,0.0,0.0,0.0,0.1846492469726973,0.7407011571761939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,heating,7,0.5526017647052969,0.0,0.0,0.0,0.0,0.144999946500298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2940541627424093,0.0,0.0,0.0083441260519955,0.0,0.0,0.0,0.0,0.0
all,heating,8,0.0,0.0,0.0009249080119612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052173922869602,0.0,0.0035269349436843,0.123494498742089,0.0,0.0,0.1499909063476468,0.4262269885944393,0.2906183710732188
all,heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001350230683937,0.2424858452817735,0.2881848365911108,0.4679790874431786,0.0,0.0
all,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3363008124369062,0.1557305358344581,0.452986968544269,0.0549816831843667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cooling,3,0.0,0.0,0.0779794210264241,0.1947289130858034,0.1821469658538018,0.0,0.0,0.0,0.0,0.0,0.390109667980184,0.1550350320537865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cooling,4,0.0,0.0,0.254047394197481,0.2379798308250914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3594677033122182,0.1461896546935815,0.0,0.0,0.0,0.0,0.0023154169716278,0.0
all,cooling,5,0.0,0.4388622078947604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462712251279146,0.0377167852455011,0.0,0.1209745556507632,0.1820447069343003,0.1726822955341049,0.0014482236126554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cooling,6,0.0,0.0,0.0,0.0,0.0,0.0876064925634519,0.0,0.0,0.0,0.0,0.0134660842615621,0.0,0.0,0.0,0.3112659308788062,0.5876614922961797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cooling,7,0.6839440305042459,0.0,0.0,0.0,0.0,0.1568291601045936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1466199199730269,0.0,0.0,0.0126068894181333,0.0,0.0,0.0,0.0,0.0
all,cooling,8,0.0,0.0,0.0001447958826385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058302382516232,0.0,0.0006045084189901,0.5378928617889304,0.0,0.0,0.0224990186677346,0.1736204524012499,0.2594081245888331
