End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total,AK,HI
cooking,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0002886836027713,0.0181870669745958,0.2318129330254041,0.138568129330254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0938221709006928,0.0,0.0,0.0,0.0,0.0,0.0,0.2413394919168591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941108545034642,0.0,0.0,0.0,0.0,0.1446304849884526,0.0,0.0,0.0,0.0372401847575057,0.0,1.0,0,0
cooking,6,0.2412698412698412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2497354497354497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2296296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793650793650793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooking,7,0.0,0.1542940320232896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1072295002426006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984958757884522,0.0,0.0,0.0,0.0,0.0,0.0,0.6399805919456574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooking,8,0.0,0.0,0.3718546132339236,0.0,0.1640260950605778,0.0,0.0,0.0,0.0,0.0,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0792171481826654,0.0,0.0,0.0,0.0,0.0,0.1612301957129543,0.0792171481826654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372786579683131,0.0,0.0,0.0,0.0,0.0,0.0382106244175209,1.0,0,0
cooking,9,0.0,0.0,0.0,0.6293759512937596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1289954337899543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2416286149162861,0.0,0.0,0.0,1.0,0,0
misc,1,0.0,0.0,0.0,0.0,0.0,0.2012987012987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545455,0.0,0.0129870129870129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649350649350649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1233766233766233,0.0,0.0,0.0,0.0,0.0,0.0,0.0519480519480519,0.0,0.0,0.0,0.0,1.0,0,0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3363028953229399,0.0,0.0,0.3229398663697105,0.0,0.0,0.0,0.3407572383073496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
misc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540272614622057,0.1734820322180917,0.0,0.0,0.0,0.0,0.0,0.0,0.2366790582403965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2304832713754646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053283767038413,0.0,0.0,1.0,0,0
misc,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1761658031088083,0.0,0.0,0.0,0.1968911917098445,0.0,0.0,0.0,0.0,0.0,0.0,0.1709844559585492,0.3989637305699482,0.0,0.0,0.0,0.0103626943005181,0.0310880829015544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155440414507772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0,0
misc,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0043821209465381,0.0157756354075372,0.4171779141104295,0.2138475021910605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0744960560911481,0.0,0.0,0.0,0.0,0.0,0.0,0.0972830850131463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0543382997370727,0.0,0.0,0.0,0.0,0.084136722173532,0.0,0.0,0.0,0.0385626643295355,0.0,1.0000000000000002,0,0
