Technology,End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
wall-window_room_AC,cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198109412331755,0.0086979659943605,0.1602352035926182,0.2656288463289522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0900310095414426,0.0,0.0,0.0,0.0,0.0,0.0,0.2059850481871636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0966510109647357,0.0,0.0,0.0,0.0,0.132904122619651,0.0,0.0,0.0,0.0200558515379008,0.0
wall-window_room_AC,cooling,6,0.0,0.2961162092225103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452537454218684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2195235232798037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3391065220758175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,7,0.0,0.0,0.086020589375716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0880740350118364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1263372964561317,0.0,0.0,0.0,0.0,0.0,0.0,0.6995680791563158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,8,0.0,0.0,0.0,0.3732864030665943,0.0,0.1784555411802954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462540703798827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028390914553272,0.0,0.0,0.0,0.0,0.0,0.0954196559541549,0.144564642073772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1020980371591261,0.0,0.0,0.0,0.0,0.0,0.0315307356329023
wall-window_room_AC,cooling,9,0.0015699805586293,0.0,0.0,0.0,0.8635332305603953,0.0,0.0,0.0,0.0,0.0,0.0,0.0295918673514827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454735211526215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0598314003768709,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2280836755366817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5003923819753595,0.0,0.1139329733516507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877795446863972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337784313605517,0.0,0.0,0.0,0.0,0.0,0.0,0.036032993089359,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625064558836497,0.0,0.0,0.4129287325720883,0.0,0.0,0.0,0.4245648115442619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1292090541973932,0.2778010328970747,0.0,0.0,0.0,0.0,0.0,0.0,0.1609483998652072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3508229685770607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812185444632639,0.0,0.0
pkg_terminal_HP-cool,cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142598286139659,0.0,0.0,0.0,0.1863627136140284,0.0,0.0,0.0,0.0,0.0,0.0,0.1242006659471411,0.3941824053834899,0.0,0.0,0.0,0.0326102088856704,0.1127853925298813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355987850258227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037377701611563,0.0010912100818851,0.604066103301333,0.1094701573629145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267075485141362,0.0,0.0,0.0,0.0,0.0,0.0,0.1099101792460692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775021948865701,0.0,0.0,0.0,0.0,0.0626888220833618,0.0,0.0,0.0,0.0048260143625732,0.0
