Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total
all,heating,5,0.0,0.4030836718537073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050122646039636,0.0580135235104022,0.0,0.1051511336647155,0.2288354466522174,0.1514711035547883,0.0033224747245331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,heating,6,0.0,0.0,0.0,0.0,0.0,0.061362792424805,0.0,0.0,0.0,0.0,0.0197270701819532,0.0,0.0,0.0,0.2991088005941329,0.6198013367991088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,heating,7,0.6187212833891441,0.0,0.0,0.0,0.0,0.2130415595877787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608389793110609,0.0,0.0,0.0073981777120161,0.0,0.0,0.0,0.0,0.0,1.0
all,heating,8,0.0,0.0,0.000144362638949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143640825754294,0.0,0.0008661758336942,0.5366681102930562,0.0,0.0,0.0500216543958423,0.1631297820124151,0.2348058322506135,1.0
all,heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044129891756869,0.257826810990841,0.2892589508742714,0.4485012489592007,0.0,0.0,1.0
all,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2616144923921177,0.187437640309304,0.4746040159640808,0.0763438513344973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,cooling,3,0.0,0.0,0.1397031468486613,0.1769060050544573,0.1873612910674654,0.0,0.0,0.0,0.0,0.0,0.3166091519031186,0.1794204051262973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,cooling,4,0.0,0.0,0.3653268685087744,0.1741921265048624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591255957464393,0.1971128681230887,0.0,0.0,0.0,0.0,0.0042425411168351,0.0,1.0
all,cooling,5,0.0,0.3165688999618849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816313250099935,0.0752912084336565,0.0,0.1261236973477489,0.2277421933828519,0.1696585447480222,0.0029841311158419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,cooling,6,0.0,0.0,0.0,0.0,0.0,0.0761832524271844,0.0,0.0,0.0,0.0,0.0227851941747572,0.0,0.0,0.0,0.2745752427184466,0.6264563106796116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,cooling,7,0.57732699625982,0.0,0.0,0.0,0.0,0.2017737272771816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024596991523347,0.0,0.0,0.0184395773106635,0.0,0.0,0.0,0.0,0.0,1.0
all,cooling,8,0.0,0.0,0.0004409559925919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116412382044271,0.0,0.0014110591762942,0.401946085780639,0.0,0.0,0.0511508951406649,0.232530793426816,0.3008789722785666,1.0
all,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034484656162297,0.3214777042023589,0.4402479960379331,0.2348258341434781,0.0,0.0,1.0
all,water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
